,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCR4,1.34E-06,-1.929400093,0.361,0.353,0.03465763
NR4A2,4.06E-13,-1.980348859,0.487,0.468,1.05E-08
ZNF331,0.000508063,-1.993116068,0.336,0.314,1
DUSP2,2.01E-09,-2.114765689,0.318,0.339,5.22E-05
CCL3,1.34E-14,-2.135638403,0.734,0.649,3.48E-10
CEBPD,3.19E-14,-2.241945613,0.306,0.347,8.29E-10
FAM26F,4.29E-17,-2.343286253,0.304,0.355,1.11E-12
HIF1A,3.89E-25,-2.378724933,0.29,0.371,1.01E-20
ICAM1,6.70E-22,-2.405180088,0.259,0.339,1.74E-17
ABCA1,2.16E-17,-2.419777941,0.187,0.271,5.60E-13
CCL4,1.72E-06,-2.50075617,0.678,0.561,0.044573461
CORO1A,6.24E-20,-2.514459547,0.235,0.317,1.62E-15
NINJ1,6.73E-37,-2.562331444,0.299,0.411,1.75E-32
LGMN,6.04E-11,-2.59341913,0.46,0.429,1.57E-06
RGS2,2.46E-15,-2.627116964,0.304,0.354,6.39E-11
IGHA1,0.800317724,-2.671065975,0.268,0.22,1
IGKC,0.8116846,-2.713721543,0.52,0.391,1
ZFP36L1,1.52E-40,-2.763312808,0.412,0.489,3.95E-36
FGL2,6.22E-18,-2.778245426,0.178,0.262,1.61E-13
A2M,1.66E-22,-2.880195488,0.194,0.291,4.32E-18
CCL4L2,1.92E-09,-3.087843285,0.548,0.491,4.98E-05
RGS1,2.56E-23,-3.173714823,0.398,0.433,6.64E-19
TMEM176B,2.47E-58,-3.187993563,0.196,0.398,6.42E-54
IER3,1.80E-37,-3.350201977,0.383,0.472,4.66E-33
PLTP,3.43E-20,-3.440186625,0.153,0.251,8.90E-16
TMEM176A,1.03E-56,-3.467548523,0.113,0.326,2.68E-52
CCL3L3,7.91E-24,-3.645747072,0.403,0.456,2.05E-19
ARL4C,9.27E-35,-3.709114061,0.117,0.265,2.40E-30
MARCKS,1.55E-74,-4.498921027,0.116,0.367,4.02E-70
RNASE1,1.56E-29,-5.083894213,0.17,0.293,4.04E-25
GPR183,3.49E-58,-5.602783045,0.086,0.3,9.06E-54
